school_year,dbn,school_name,report_type,avg_metric_score,n_metric_rows
2018,07X031,P.S./M.S. 031 The William Lloyd Garrison,EMS,3.1862962962962964,27
2018,07X043,P.S. 043 Jonas Bronck,EMS,3.1145,20
2018,07X049,P.S. 049 Willis Avenue,EMS,4.288181818181818,22
2018,07X065,P.S. 065 Mother Hale Academy,EMS,3.0652631578947367,19
2018,07X379,Jill Chaifetz Transfer High School,HST,2.8244444444444445,27
2018,07X151,J.H.S. 151 Lou Gehrig,EMS,2.8084,25
2018,07X154,P.S. 154 Jonathan D. Hyatt,EMS,3.8200000000000003,15
2018,07X157,P.S. 157 Grove Hill,EMS,2.931111111111111,18
2018,07X161,P.S. 161 Juan Ponce De Leon School,EMS,3.4586363636363635,22
2018,07X179,P.S. 179,EMS,3.227,20
2018,07X221,South Bronx Preparatory: A College Board School,EMS,3.8596,25
2018,07X221,South Bronx Preparatory: A College Board School,HS,4.153333333333333,30
2018,07X223,The Laboratory School of Finance and Technology: X,EMS,3.9264,25
2016,75Q233,P.S. Q233,D75,2.0366666666666666,3
2018,07X223,The Laboratory School of Finance and Technology: X,HS,3.8581481481481483,27
2018,07X224,P.S./I.S. 224,EMS,1.95,25
2018,07X259,"H.E.R.O. High (Health, Education, and Research Occ",HS,2.8932258064516128,31
2018,07X277,P.S. 277,EMS,2.3995,20
2018,07X296,South Bronx Academy for Applied Media,EMS,3.1255555555555556,27
2018,07X298,Academy of Public Relations,EMS,3.29875,24
